
CONSUMO Y EXPOSICIÓN AL TABACO
Consumo de tabaco según sexo y grupo de edad. Población de 15 y más años.
Unidades: porcentajes

,Total,Fumador diario,Fumador ocasional,Exfumador,Nunca ha fumado,
AMBOS SEXOS,
    Total,100,00,23,95,3,01,19,58,53,46,
    De 15 a 24 años,100,00,21,73,4,67,3,71,69,89,
    De 25 a 34 años,100,00,32,03,4,28,13,10,50,59,
    De 35 a 44 años,100,00,30,59,2,99,17,81,48,62,
    De 45 a 54 años,100,00,32,15,3,42,26,34,38,09,
    De 55 a 64 años,100,00,20,64,2,64,28,22,48,50,
    De 65 a 74 años,100,00,9,96,1,10,27,67,61,27,
    De 75 a 84 años,100,00,4,15,0,55,22,14,73,16,
    De 85 y más años,100,00,1,84,1,16,19,08,77,92,
HOMBRES,
    Total,100,00,27,87,3,50,26,77,41,86,
    De 15 a 24 años,100,00,22,48,5,35,3,21,68,96,
    De 25 a 34 años,100,00,35,68,5,20,13,08,46,04,
    De 35 a 44 años,100,00,32,83,2,95,19,59,44,63,
    De 45 a 54 años,100,00,34,34,3,68,31,44,30,54,
    De 55 a 64 años,100,00,26,26,2,58,40,57,30,59,
    De 65 a 74 años,100,00,16,16,1,76,50,26,31,82,
    De 75 a 84 años,100,00,8,91,1,11,49,52,40,46,
    De 85 y más años,100,00,4,35,2,99,53,42,39,24,
MUJERES,
    Total,100,00,20,22,2,55,12,73,64,50,
    De 15 a 24 años,100,00,20,95,3,96,4,23,70,86,
    De 25 a 34 años,100,00,28,26,3,34,13,12,55,28,
    De 35 a 44 años,100,00,28,25,3,02,15,95,52,78,
    De 45 a 54 años,100,00,29,97,3,16,21,30,45,57,
    De 55 a 64 años,100,00,15,35,2,69,16,59,65,36,
    De 65 a 74 años,100,00,4,58,0,52,8,06,86,84,
    De 75 a 84 años,100,00,0,86,0,16,3,17,95,81,
    De 85 y más años,100,00,0,50,0,18,0,73,98,58,
Notas:
El símbolo '.' debe interpretarse como dato que no se proporciona por muestra insuficiente.
 Los datos correspondientes a celdas con menos de 35 mil personas han de ser tomados con precaución, ya que pueden estar afectados de elevados errores de muestreo.
Fuente: MSSSI e INE
